"id","Name","State","City","Site","Material","Weight_g","Laboratory","LabID","Age_BP","Error","Report"
1,①목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.141,서울대학교 기초과학공동기기원,SNU07-620,30,50,"화성 태안3택지개발지구 내 9,10지점 유적"
2,②목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0025,서울대학교 기초과학공동기기원,SNU07-621,120,30,"화성 태안3택지개발지구 내 9,10지점 유적"
3,③목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0038,서울대학교 기초과학공동기기원,SNU07-622,40,50,"화성 태안3택지개발지구 내 9,10지점 유적"
4,④목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0027,서울대학교 기초과학공동기기원,SNU07-623,1070,50,"화성 태안3택지개발지구 내 9,10지점 유적"
5,⑤목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0026,서울대학교 기초과학공동기기원,SNU07-624,870,50,"화성 태안3택지개발지구 내 9,10지점 유적"
6,⑥목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0024,서울대학교 기초과학공동기기원,SNU07-625,1180,50,"화성 태안3택지개발지구 내 9,10지점 유적"
7,⑦목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0024,서울대학교 기초과학공동기기원,SNU07-626,1270,50,"화성 태안3택지개발지구 내 9,10지점 유적"
8,⑧목탄,경기도,화성시,태안 3택지개발지구,탄화목,0.0029,서울대학교 기초과학공동기기원,SNU07-627,680,50,"화성 태안3택지개발지구 내 9,10지점 유적"
9,SNA-1,서울특별시,중랑구,신내 2택지 개발사업지구,토양,0,한국지질자원연구원,ISa080043,21800,200,서울 중랑구 신내2택지개발사업지구내 유적
10,SNA-11,서울특별시,중랑구,신내 2택지 개발사업지구,토양,0,한국지질자원연구원,ISa080044,44100,800,서울 중랑구 신내2택지개발사업지구내 유적
11,경산 중산 1 지구 시료① (주거지 22호),경상북도,경산시,옥산동 300번지 유적 주거지 22호,탄화목,0.0033,서울대학교 기초과학공동기기원,SNU10-091,2790,60,경산 옥산동 300번지유적
12,경산 중산 1 지구 시료② (주거지 27호),경상북도,경산시,옥산동 300번지 유적 주거지 27호,탄화목,0.0063,서울대학교 기초과학공동기기원,SNU10-092,2540,50,경산 옥산동 300번지유적
13,경산 중산 1 지구 시료③ (주거지 33호),경상북도,경산시,옥산동 300번지 유적 주거지 33호,탄화목,0.0032,서울대학교 기초과학공동기기원,SNU10-093,2580,50,경산 옥산동 300번지유적
14,경산 중산 1 지구 시료④ (가마 2호),경상북도,경산시,옥산동 300번지 유적 가마 2호,탄화목,0.003,서울대학교 기초과학공동기기원,SNU10-094,420,50,경산 옥산동 300번지유적
15,경산 중산 1 지구 시료⑤ (가마 1호),경상북도,경산시,옥산동 300번지 유적 가마 1호,탄화목,0.003,서울대학교 기초과학공동기기원,SNU10-095,1300,50,경산 옥산동 300번지유적
16,경산 중산 1 지구 시료⑥ (2구역3 · 9G)),경상북도,경산시,옥산동 300번지 유적 2구역3 · 9G,퇴적물,0.031,서울대학교 기초과학공동기기원,SNU10-096,2380,50,경산 옥산동 300번지유적
17,경산 중산 1 지구 시료⑦ (2구역3 · 9G)),경상북도,경산시,옥산동 300번지 유적 2구역3 · 9G,퇴적물,0.033,서울대학교 기초과학공동기기원,SNU10-097,1900,50,경산 옥산동 300번지유적
18,경산 중산 1 지구 시료⑧ (2구역3 · 9G)),경상북도,경산시,옥산동 300번지 유적 2구역3 · 9G,퇴적물,0.074,서울대학교 기초과학공동기기원,SNU10-098,5940,60,경산 옥산동 300번지유적
19,토양-157,서울특별시,종로구,청진동 102번지,토양,2.6768,PaleoLabo,PLD-21586,2080,20,종로 청진12~16지구 유적
20,토양-157,서울특별시,종로구,청진동 102번지,토양,7.9923,PaleoLabo,PLD-21587,2090,20,종로 청진12~16지구 유적
21,토양-157,서울특별시,종로구,청진동 102번지,토양,5.7194,PaleoLabo,PLD-21588,7850,25,종로 청진12~16지구 유적
22,토양-157,서울특별시,종로구,청진동 102번지,토양,4.7801,PaleoLabo,PLD-21589,8325,30,종로 청진12~16지구 유적
23,토양-201,서울특별시,종로구,청진동 79번지,목재,0.0185,PaleoLabo,PLD-21590,575,20,종로 청진12~16지구 유적
24,토양-201,서울특별시,종로구,청진동 79번지,토양,3.6167,PaleoLabo,PLD-21591,1915,20,종로 청진12~16지구 유적
25,토양-201,서울특별시,종로구,청진동 79번지,토양,3.4577,PaleoLabo,PLD-21592,8785,30,종로 청진12~16지구 유적
26,목재-318,서울특별시,종로구,종로1가 42번지 마루,탄화목,0.0512,PaleoLabo,PLD-21594,585,20,종로 청진12~16지구 유적
27,목재-308,서울특별시,종로구,청진동 69번지,목재,0.0277,PaleoLabo,PLD-21595,350,20,종로 청진12~16지구 유적
28,목재-320,서울특별시,종로구,청진동 120번지,목재,0.032,PaleoLabo,PLD-21596,410,20,종로 청진12~16지구 유적
29,목재-322,서울특별시,종로구,청진동 119번지,목재,0.0285,PaleoLabo,PLD-21597,385,20,종로 청진12~16지구 유적
30,곡물-37,서울특별시,종로구,종로1가 42번지,탄화곡물,0.0369,PaleoLabo,PLD-21598,340,20,종로 청진12~16지구 유적
31,달성 ITS 1 - 제1 구역 목탄요 내 주혈,대구광역시,달성군,창리 901유적 제1 구역 목탄요 내 주혈,탄화목,0.0029,서울대학교 기초과학공동기기원,SNU12-333,2010,40,달성 창리 901유적
32,달성 ITS 2 - 제5 구역 가마 1호 내 연소실,대구광역시,달성군,창리 901유적 제5 구역 가마 1호 내 연소실,탄화목,0.0048,서울대학교 기초과학공동기기원,SNU12-334,1670,40,달성 창리 901유적
33,공주 신관동 78번지 문화유적 1호 주거지,충청남도,공주시,신관동 78번지 문화유적  1호 주거지,탄화목,0.006,(재)충청문화재연구원 보존과학고고분석팀,KR12-114,1730,40,공주 신관동 78번지외유적
34,밀양 미전 가지구 7호 주거지,경상남도,밀양시,미전리 복합유적 가지구 7호 주거지,탄화목,0,한국지질자원연구원,KGM-OWd130027,1700,30,밀양 미전리 복합유적III
35,밀양 미전 가지구 13호 주거지,경상남도,밀양시,미전리 복합유적 가지구 13호 주거지,탄화목,0,한국지질자원연구원,KGM-OWd130028,1630,30,밀양 미전리 복합유적III
36,밀양 미전 나지구 도기가마,경상남도,밀양시,미전리 복합유적 나지구 도기가마,탄화목,0,한국지질자원연구원,KGM-OWd130029,950,30,밀양 미전리 복합유적III
37,포항 광명리 3호 수혈주거지,경상북도,포항시,광명리 354번지 유적 3호 수혈주거지,탄화목,0.0039,서울대학교 기초과학공동기기원,SNU13-R001,1630,40,포항 광명일반산업단지 조성사업부지내 浦項 光明里 354番地 遺蹟
38,익산 송학리 1호 주거지,전라북도,익산시,송학리 유적 1호 주거지,탄화목,0.007,서울대학교 기초과학공동기기원,SNU12-568,2470,40,익산 송학리유적
39,익산 송학리 2호 주거지 타원형 구덩이 내,전라북도,익산시,송학리 유적 2호 주거지 타원형 구덩이 내,탄화목,0.0037,서울대학교 기초과학공동기기원,SNU12-571,2330,40,익산 송학리유적
40,익산 송학리 1호 수혈 바닥,전라북도,익산시,송학리 유적 1호 수혈 바닥,탄화목,0.0035,서울대학교 기초과학공동기기원,SNU12-569,2390,40,익산 송학리유적
41,익산 송학리 2호 수혈,전라북도,익산시,송학리 유적 2호 수혈,탄화목,0.0032,서울대학교 기초과학공동기기원,SNU12-570,2520,40,익산 송학리유적
42,익산 송학리 3호 수혈(10cm),전라북도,익산시,송학리 유적 3호 수혈(10cm),탄화목,0.005,서울대학교 기초과학공동기기원,SNU12-567,2990,100,익산 송학리유적
43,익산 송학리 7호 수혈 토기내부,전라북도,익산시,송학리 유적 7호 수혈 토기내부,탄화목,0.0015,서울대학교 기초과학공동기기원,SNU12-572,2780,60,익산 송학리유적
44,익산 송학리 7호 수혈 토기내부,전라북도,익산시,송학리 유적 7호 수혈 토기내부,탄화목,0.0041,서울대학교 기초과학공동기기원,SNU12-573,2430,40,익산 송학리유적
45,함평 신흥동 HS3-3 3호 주거지 타원형 구덩이,전라남도,함평군,신흥동 유적 3호 주거지 타원형 구덩이,탄화목,0.006,서울대학교 기초과학공동기기원,SNU12-292,2590,60,함평 신흥동유적Ⅲ
46,함평 신흥동 HS3-1 7호 주거지 타원형 구덩이,전라남도,함평군,신흥동 유적 7호 주거지 타원형 구덩이,탄화목,0.0036,서울대학교 기초과학공동기기원,SNU12-290,2620,50,함평 신흥동유적Ⅲ
47,함평 신흥동 HS3-4 11호 주거지 바닥면,전라남도,함평군,신흥동 유적 11호 주거지 바닥면,탄화목,0.0044,서울대학교 기초과학공동기기원,SNU12-293,2550,40,함평 신흥동유적Ⅲ
48,함평 신흥동 HS3-7 초기철기 1호 목관묘 흑도 장경호 내부토,전라남도,함평군,신흥동 유적 초기철기 1호 목관묘 흑도 장경호 내부토,토양,0.078,서울대학교 기초과학공동기기원,SNU12-296,3190,40,함평 신흥동유적Ⅲ
49,함평 신흥동 HS3-8 초기철기 1호 목관묘 바닥,전라남도,함평군,신흥동 유적 초기철기 1호 목관묘 바닥,토양,0.064,서울대학교 기초과학공동기기원,SNU12-297,3360,40,함평 신흥동유적Ⅲ
50,함평 신흥동 HS3-6 1호 고분 토광묘,전라남도,함평군,신흥동 유적 1호 고분 토광묘,탄화목,0.003,서울대학교 기초과학공동기기원,SNU12-295,2230,40,함평 신흥동유적Ⅲ
51,함평 신흥동 HS3-10 1호 고분 토광묘 평저호 내부토양,전라남도,함평군,신흥동 유적 1호 고분 토광묘 평저호 내부토양,토양,0.04,서울대학교 기초과학공동기기원,SNU12-299,1640,50,함평 신흥동유적Ⅲ
52,함평 신흥동 HS3-11 1호 고분 토광묘 파수부발 내부토,전라남도,함평군,신흥동 유적 1호 고분 토광묘 파수부발 내부토,토양,0.032,서울대학교 기초과학공동기기원,SNU12-300,2040,40,함평 신흥동유적Ⅲ
53,함평 신흥동 HS3-12 1호 고분 토광묘 평저발 내부토,전라남도,함평군,신흥동 유적 1호 고분 토광묘 평저발 내부토,토양,0.071,서울대학교 기초과학공동기기원,SNU12-301,1560,40,함평 신흥동유적Ⅲ
54,함평 신흥동 HS3-9 삼국 1호 옹관묘,전라남도,함평군,신흥동 유적 삼국 1호 옹관묘,토양,0.025,서울대학교 기초과학공동기기원,SNU12-298,1090,40,함평 신흥동유적Ⅲ
55,영덕 지품 1 - 고려시대 제 1호 주거지 내 수혈,경상북도,영덕군,지품리 유적 고려시대 제 1호 주거지 내 수혈,탄화목,0.0019,서울대학교 기초과학공동기기원,SNU12-344,1030,50,영덕 지품리유적
56,영덕 지품 2 - 조선시대 제 1호 주거지 내 아궁이,경상북도,영덕군,지품리 유적 조선시대 제 1호 주거지 내 아궁이,탄화목,0.0009,서울대학교 기초과학공동기기원,SNU12-345,530,70,영덕 지품리유적
57,백동 1호 지석묘,전라남도,나주시,백용유적,탄화목,0.0036,서울대학교 기초과학공동기기원,SNU13-R008,2440,100,나주 백용유적
58,시료 No. 1,부산광역시,강서구,가동 패총 1호 야외노지,탄화목,0.00477,PaleoLabo,PLD-24965,3850,20,釜山佳洞貝塚
59,시료 No. 4,부산광역시,강서구,가동 패총 B2 pit Ⅱ-1층,탄화목,0.01373,PaleoLabo,PLD-24966,3110,20,釜山佳洞貝塚
60,시료 No. 8,부산광역시,강서구,가동 패총 C3 pit Ⅲ-2층,탄화목,0.04257,PaleoLabo,PLD-24967,3205,20,釜山佳洞貝塚
61,시료 No. 9,부산광역시,강서구,가동 패총 C3 pit Ⅱ-2층,탄화종실,0.01671,PaleoLabo,PLD-24968,3240,20,釜山佳洞貝塚
62,왕궁리유적 부엌터 내부 부뚜막 목탄 시료,전라북도,익산시,왕궁리유적 부엌터 내부 부뚜막,탄화목,0,Beta Analytic,Beta-452696 : WG 1,1320,30,익산 왕궁리 유적 11차 발굴중간보고서
63,경주 교동 남천-①,경상북도,경주시,교동 274번지 남천주변,목재,0.0044,서울대학교 기초과학공동기기원,SNU12-286,9790,80,경주 교동 274번지 남천주변 경관정비공사 구간내 유적
64,경주 교동 남천-②,경상북도,경주시,교동 274번지 남천주변,목재,0.0033,서울대학교 기초과학공동기기원,SNU12-287,10,30,경주 교동 274번지 남천주변 경관정비공사 구간내 유적
65,경주 교동 남천-③,경상북도,경주시,교동 274번지 남천주변,목재,0.0046,서울대학교 기초과학공동기기원,SNU12-288,1920,40,경주 교동 274번지 남천주변 경관정비공사 구간내 유적
66,경주 교동 남천-④,경상북도,경주시,교동 274번지 남천주변,뼈,0,서울대학교 기초과학공동기기원,SNU12-289,1950,40,경주 교동 274번지 남천주변 경관정비공사 구간내 유적
67,시료 No. 9,충청남도,예산군,주령리 유적 주거지 002호 바닥면,탄화목,0.02486,PaleoLabo,PLD-22301,2485,25,예산 주령리·신가리유적
68,시료 No. 10,충청남도,예산군,주령리 유적 주거지 002호 바닥면,탄화목,0.10923,PaleoLabo,PLD-22302,2480,25,예산 주령리·신가리유적
69,시료 No. 11,충청남도,예산군,주령리 유적 주거지 002호 바닥면,탄화목,0.08635,PaleoLabo,PLD-22303,2470,20,예산 주령리·신가리유적
70,춘천 근화동 792-2 철 · 주 1호-1,강원도,춘천시,근화동 792-2 철 · 주 1호,탄화목,0.0065,서울대학교 기초과학공동기기원,SNU12-478,1920,40,춘천 근화동 792-2번지 유적
71,춘천 근화동 792-2 철 · 주 1호-2,강원도,춘천시,근화동 792-2 철 · 주 1호,탄화목,0.0012,서울대학교 기초과학공동기기원,SNU12-479,1560,90,춘천 근화동 792-2번지 유적
72,춘천 근화동 792-2 철 · 주 2호-1,강원도,춘천시,근화동 792-2 철 · 주 2호,탄화목,0.0036,서울대학교 기초과학공동기기원,SNU12-480,2060,40,춘천 근화동 792-2번지 유적
73,춘천 근화동 792-2 철 · 주 2호-2,강원도,춘천시,근화동 792-2 철 · 주 2호,탄화목,0.0078,서울대학교 기초과학공동기기원,SNU12-481,1940,40,춘천 근화동 792-2번지 유적
74,춘천 근화동 792-2 통 · 주 1호-1,강원도,춘천시,근화동 792-2 통 · 주 1호,탄화목,0.0039,서울대학교 기초과학공동기기원,SNU12-482,1920,50,춘천 근화동 792-2번지 유적
75,춘천 근화동 792-2 통 · 주 2호-1,강원도,춘천시,근화동 792-2 통 · 주 2호,탄화목,0.0016,서울대학교 기초과학공동기기원,SNU12-483,1300,40,춘천 근화동 792-2번지 유적
76,춘천 근화동 792-2 통 · 주 2호-2,강원도,춘천시,근화동 792-2 통 · 주 2호,탄화목,0.0028,서울대학교 기초과학공동기기원,SNU12-484,1170,40,춘천 근화동 792-2번지 유적
77,춘천 근화동 792-2 조 · 수 1호-1,강원도,춘천시,근화동 792-2 조 · 수 1호,탄화목,0.0031,서울대학교 기초과학공동기기원,SNU12-485,290,40,춘천 근화동 792-2번지 유적
